data            ibm           sp
19260130      -0.010381      0.022472
19260227      -0.024476     -0.043956
19260331      -0.115591     -0.059113
19260430       0.089783      0.022688
19260528       0.036932      0.007679
19260630       0.068493      0.043184
19260731       0.000000      0.045455
19260831       0.000000      0.017081
19260930       0.065104      0.022901
19261030       0.032258     -0.031343
19261130       0.031250      0.022342
19261231       0.030303      0.016579
19270131       0.023041     -0.020756
19270228       0.081081      0.047691
19270331       0.183333      0.006503
19270430       0.078571      0.017229
19270531       0.149007      0.052223
19270630      -0.048991     -0.009390
19270730        0.0          0.064997
19270831       0.119632      0.044501
19270930       0.019178      0.043214
19271031      -0.008152     -0.053092
19271130       0.090411      0.067776
19271231       0.218593      0.019042
19280131       0.041667     -0.005096
19280229       0.028000     -0.017644
19280331       0.004864      0.108343
19280430      -0.006843      0.032410
19280531      -0.015748      0.012658
19280630      -0.004000     -0.040500
19280731      -0.010142      0.012507
19280831       0.071721      0.074112
19280929       0.078394      0.023958
19281031       0.035778      0.014506
19281130       0.105354      0.119926
19281231       0.031953      0.002883
19290131      -0.020032      0.057084
19290228       0.053148     -0.005828
19290328       0.001553     -0.002345
19290430       0.124219      0.016060
19290531      -0.011814     -0.042791
19290629       0.188467      0.112364
19290731       0.109524      0.045619
19290830       0.034335      0.097992
19290930      -0.048237     -0.048880
19291031      -0.189041     -0.199271
19291127      -0.222973     -0.133747
19291231       0.194261      0.025335
19300131       0.010802      0.062471
19300228       0.067939      0.021501
19300331       0.049321      0.079897
19300430      -0.004121     -0.009547
19300529       0.075862     -0.016466
19300630      -0.105128     -0.164557
19300731       0.000000      0.036657
19300829       0.040462      0.007544
19300930      -0.112500     -0.130089
19301031      -0.097946     -0.088757
19301129       0.022767     -0.021842
19301231       0.089555     -0.074231
19310131       0.025000      0.048892
19310228       0.125203      0.114357
19310331      -0.049133     -0.069158
19310430      -0.023006     -0.095866
19310529      -0.211931     -0.137177
19310630       0.191235      0.139017
19310731      -0.091216     -0.074174
19310831       0.070632      0.009468
19310930      -0.229167     -0.299423
19311031       0.114155      0.084449
19311130      -0.016393     -0.097816
19311231      -0.074687     -0.145263
19320130      -0.045564     -0.028325
19320229       0.023869      0.050697
19320331      -0.042945     -0.118215
19320430      -0.166667     -0.202462
19320531      -0.162500     -0.233276
19320630      -0.048507     -0.008949
19320730       0.200803      0.376975
19320831       0.351171      0.375410
19320930       0.024752     -0.036949
19321031      -0.132353     -0.138614
19321130      -0.097458     -0.058908
19321231       0.145540      0.051908
19330131       0.020833      0.007257
19330228      -0.167347     -0.184438
19330331        0.0          0.033569
19330429       0.470588      0.422222
19330531       0.081081      0.158654
19330630       0.137500      0.131743
19330731       0.029630     -0.087993
19330831       0.061151      0.114573
19330930      -0.094915     -0.113616
19331031      -0.016098     -0.088505
19331129       0.124158      0.102679
19331230      -0.011986      0.022267
19340131       0.029772      0.105941
19340228      -0.020408     -0.036705
19340331      -0.065972     -0.000929
19340430       0.075188     -0.026977
19340531      -0.066434     -0.081262
19340630       0.057116      0.020812
19340731      -0.043868     -0.115189
19340831       0.029963      0.054147
19340929       0.036364     -0.005464
19341031      -0.014184     -0.031868
19341130       0.111511      0.082860
19341231       0.016505     -0.004193
19350131      -0.006557     -0.042105
19350228       0.049505     -0.039560
19350330       0.010220     -0.030892
19350430       0.093480      0.095632
19350531      -0.008621      0.032328
19350629       0.034783      0.067850
19350731       0.033898      0.083089
19350831      -0.006831      0.021661
19350930      -0.013755      0.023852
19351031       0.014065      0.075065
19351130       0.012483      0.039326
19351231       0.014938      0.037066
19360131       0.024527      0.065525
19360229      -0.047880      0.016771
19360331       0.034483      0.025430
19360430      -0.092437     -0.077078
19360529       0.024691      0.045752
19360630       0.045181      0.030556
19360731      -0.045058      0.068059
19360831       0.022831      0.008833
19360930       0.024182      0.001251
19361031       0.002565      0.074953
19361130       0.114035      0.004067
19361231      -0.001312     -0.005787
19370130      -0.044371      0.037835
19370227      -0.015939      0.014582
19370331      -0.045387     -0.009397
19370430       0.016419     -0.083147
19370528      -0.070769     -0.010347
19370630       0.003311     -0.052891
19370731       0.070000      0.102597
19370831      -0.065421     -0.055359
19370930      -0.015000     -0.142145
19371030      -0.022222     -0.101744
19371130      -0.076923     -0.101133
19371231       0.047348     -0.050405
19380131       0.071298      0.013270
19380228       0.047782      0.060804
19380331      -0.100489     -0.250441
19380430       0.069231      0.141177
19380531       0.017986     -0.044330
19380630       0.095406      0.247033
19380730       0.065147      0.072664
19380831      -0.006116     -0.027419
19380930       0.012308      0.014925
19381031       0.070552      0.075980
19381130       0.008596     -0.033409
19381231       0.059659      0.037706
19390131      -0.039865     -0.068887
19390228       0.037298      0.032520
19390331      -0.034057     -0.135433
19390429      -0.014881     -0.005464
19390531       0.070242      0.062271
19390630      -0.003529     -0.063793
19390731       0.068571      0.108656
19390831      -0.093583     -0.071429
19390930      -0.014749      0.164580
19391031       0.087613     -0.014593
19391130       0.000000     -0.049104
19391230       0.039583      0.023770
19400131      -0.028956     -0.035228
19400229       0.051318      0.006639
19400330      -0.006794      0.009893
19400430      -0.013361     -0.004898
19400531      -0.161796     -0.239541
19400629      -0.047619      0.076591
19400731       0.025271      0.031062
19400831       0.005282      0.026239
19400930       0.094571      0.009470
19401031       0.017771      0.039400
19401130       0.006349     -0.042419
19401231       0.017350     -0.002828
19410131       0.000704     -0.048204
19410228      -0.014778     -0.014896
19410331       0.033750      0.004032
19410430      -0.081807     -0.065261
19410531       0.066489      0.004296
19410630       0.034913      0.053476
19410731       0.025953      0.054822
19410830      -0.007115     -0.008662
19410930       0.025478     -0.009709
19411031      -0.031348     -0.068627
19411129       0.003236     -0.042105
19411231      -0.016129     -0.045055
19420131      -0.111672      0.013809
19420228      -0.037182     -0.024972
19420331      -0.036585     -0.067520
19420430      -0.008547     -0.043695
19420529       0.039332      0.063969
19420630       0.105236      0.018405
19420731       0.028463      0.031325
19420831       0.018450      0.007009
19420930       0.003623      0.026682
19421031       0.020073      0.064407
19421130       0.059034     -0.013800
19421231       0.020270      0.051668
19430130       0.079849      0.071648
19430227       0.011382      0.050621
19430331       0.042208      0.052727
19430430       0.006231      0.000864
19430529       0.049536      0.044866
19430630       0.008929      0.019818
19430731      -0.014749     -0.054251
19430831       0.032934      0.010274
19430930       0.019006      0.023729
19431030      -0.010043     -0.013245
19431130      -0.031884     -0.075503
19431231       0.045317      0.058984
19440131      -0.028902      0.015424
19440229      -0.021875     -0.002532
19440331       0.108065      0.016920
19440429      -0.009461     -0.012479
19440531       0.013960      0.040438
19440630       0.005848      0.051012
19440731       0.012718     -0.020801
19440831       0.037675      0.008655
19440930       0.006974     -0.003120
19441031      -0.036011       0.0    
19441130       0.064655      0.003912
19441230       0.006803      0.035074
19450131      -0.015270      0.014307
19450228       0.049712      0.061618
19450331      -0.008997     -0.046154
19450430       0.044693      0.087977
19450531       0.044118      0.011456
19450630      -0.015484     -0.003331
19450731       0.005242     -0.020053
19450831       0.014342      0.057981
19450929       0.041451      0.041908
19451031       0.104478      0.030322
19451130       0.099099      0.032432
19451231      -0.018557      0.009889
19460131       0.024160      0.069700
19460228       0.033333     -0.069467
19460330       0.057500      0.046296
19460430       0.125296      0.037611
19460531       0.048319      0.022388
19460628      -0.016129     -0.039103
19460731       0.012295     -0.025502
19460830      -0.062753     -0.072940
19460930      -0.082609     -0.101502
19461031      -0.009479     -0.008021
19461130       0.002990     -0.011456
19461231       0.009610      0.042945
19470131       0.051755      0.023529
19470228      -0.038462     -0.014687
19470331      -0.011848     -0.016850
19470430      -0.071942     -0.038893
19470529       0.041344     -0.008916
19470630       0.030000      0.052595
19470731       0.043689      0.036160
19470829       0.000000     -0.027919
19470930       0.002342     -0.013708
19471031       0.011682      0.021178
19471129       0.055139     -0.028516
19471231       0.057560      0.020680
19480131      -0.087500     -0.039869
19480228       0.078767     -0.046971
19480331       0.048507      0.077143
19480430       0.007117      0.026525
19480528       0.038869      0.078165
19480630       0.000000      0.002996
19480730      -0.047945     -0.053166
19480831       0.084532      0.007571
19480930      -0.048414     -0.030056
19481030       0.080702      0.067786
19481130      -0.028409     -0.108223
19481231       0.049622      0.030508
19490131       0.053365      0.001316
19490228      -0.047923     -0.039422
19490331       0.048986      0.030096
19490430       0.030596     -0.021248
19490531       0.000000     -0.037313
19490630      -0.047170     -0.002114
19490729       0.102310      0.062147
19490831       0.000000      0.011968
19490930       0.060241      0.023653
19491031       0.117898      0.029525
19491130      -0.013977      0.001247
19491231       0.176166      0.043587
19500131       0.054626      0.017303
19500228      -0.008772      0.009971
19500331       0.037778      0.004065
19500429      -0.019272      0.045113
19500531       0.021834      0.039292
19500630      -0.098712     -0.058040
19500731      -0.095238      0.008479
19500831       0.094737      0.032511
19500929       0.028986      0.055917
19501031      -0.009390      0.004113
19501130       0.010664     -0.001024
19501230       0.017668      0.046130
19510131       0.057292      0.061244
19510228      -0.041379      0.006464
19510331      -0.018072     -0.018349
19510430       0.006135      0.048131
19510531      -0.002439     -0.040571
19510629      -0.017199     -0.026022
19510731       0.070000      0.068702
19510831       0.039720      0.039286
19510928      -0.020316     -0.000859
19511031      -0.064516     -0.013758
19511130       0.009852     -0.002616
19511231       0.071078      0.038899
19520131      -0.032895      0.015566
19520229      -0.048447     -0.036454
19520331       0.007874      0.047721
19520430      -0.013021     -0.043086
19520529       0.060686      0.023156
19520630       0.095000      0.046102
19520731      -0.004566      0.017628
19520829      -0.008028     -0.014567
19520930      -0.019744     -0.019577
19521031       0.021327     -0.000815
19521128       0.071926      0.046493
19521231       0.073967      0.035464
19530130      -0.013815     -0.007151
19530227       0.028017     -0.018196
19530331       0.014737     -0.023552
19530430      -0.049793     -0.026493
19530529       0.050218     -0.003249
19530630      -0.030271     -0.016300
19530731       0.033369      0.025269
19530831      -0.004167     -0.057778
19530930      -0.029412      0.001286
19531030       0.008658      0.050964
19531130       0.032189      0.008965
19531231       0.057098      0.002019
19540129       0.054656      0.051189
19540226       0.044146      0.002684
19540331       0.232472      0.030210
19540430       0.005988      0.048998
19540528       0.067708      0.032909
19540630       0.048951      0.000685
19540730      -0.005000      0.057172
19540831      -0.048576     -0.034003
19540930       0.035336      0.083138
19541029       0.063140     -0.019499
19541130       0.186196      0.080808
19541231      -0.017639      0.050818
19550131       0.026243      0.018066
19550228       0.004038      0.003549
19550331       0.067204     -0.004897
19550429       0.078086      0.037726
19550531      -0.021028     -0.001317
19550630      -0.007177      0.082300
19550729       0.015663      0.060687
19550831      -0.039146     -0.007813
19550930      -0.017327      0.011348
19551031      -0.042821     -0.030456
19551130       0.047368      0.074870
19551230       0.040491     -0.000659
19560131      -0.032258     -0.036500
19560229       0.051282      0.034687
19560329       0.210269      0.069255
19560430       0.070707     -0.002063
19560531       0.015330     -0.065730
19560629       0.139697      0.039159
19560731       0.052094      0.051522
19560831      -0.057282     -0.038064
19560928      -0.065015     -0.045464
19561031       0.030905      0.005072
19561130       0.047109     -0.010970
19561231       0.106557      0.035271
19570131      -0.040741     -0.041783
19570228      -0.016409     -0.032648
19570329       0.021632      0.019649
19570430       0.101059      0.036953
19570531       0.059732      0.036948
19570628       0.123939     -0.001265
19570731       0.016616      0.011400
19570830      -0.059138     -0.056147
19570930      -0.049051     -0.061920
19571031      -0.006656     -0.032060
19571129       0.040536      0.016074
19571231       0.008468     -0.041467
19580131       0.054098      0.042761
19580228       0.023795     -0.020624
19580331       0.053272      0.030852
19580430       0.014451      0.031829
19580529      -0.004558      0.014963
19580630       0.058065      0.026083
19580731       0.001355      0.043103
19580829       0.008525      0.011867
19580930       0.096774      0.048377
19581031       0.066176      0.025370
19581128       0.029080      0.022404
19581231       0.226790      0.052020
19590130      -0.064953      0.003804
19590227       0.058771     -0.000180
19590331       0.026465      0.000541
19590430       0.079190      0.038781
19590529       0.204352      0.018927
19590630      -0.046809     -0.003579
19590731      -0.044643      0.034890
19590831      -0.007009     -0.015039
19590930      -0.030624     -0.045638
19591030      -0.006075      0.011252
19591130       0.067482      0.013213
19591231       0.005161      0.027625
19600129      -0.050770     -0.071464
19600229       0.006611      0.009171
19600331       0.050239     -0.013899
19600429       0.030752     -0.017528
19600531       0.115470      0.026853
19600630       0.035714      0.019524
19600729       0.004789     -0.024772
19600831       0.023356      0.026121
19600930      -0.037313     -0.060393
19601031      -0.009690     -0.002429
19601130       0.091487      0.040270
19601230       0.064632      0.046273
19610131       0.072513      0.063156
19610228       0.062500      0.026870
19610330       0.029630      0.025536
19610428       0.027338      0.003843
19610531       0.027521      0.019139
19610630      -0.026612     -0.028846
19610731       0.024185      0.032797
19610831       0.067967      0.019623
19610929       0.035611     -0.019686
19611031       0.092007      0.028323
19611130      -0.011745      0.039347
19611229      -0.001724      0.003225
19620131      -0.063903     -0.037876
19620228      -0.007841      0.016270
19620330      -0.007914     -0.005860
19620430      -0.147818     -0.061970
19620531      -0.133811     -0.085990
19620629      -0.135669     -0.081838
19620731       0.140752      0.063562
19620831       0.025840      0.015284
19620928      -0.107886     -0.048207
19621031      -0.021216      0.004443
19621130       0.153902      0.101557
19621231      -0.021330      0.013492
19630131       0.086538      0.049128
19630228      -0.054277     -0.028852
19630329       0.053158      0.035464
19630430       0.101544      0.048520
19630531       0.031267      0.014327
19630628      -0.085909     -0.020198
19630731      -0.004011     -0.003460
19630830       0.025892      0.048749
19630930       0.016301     -0.011034
19631031       0.092920      0.032218
19631129      -0.015182     -0.010539
19631231       0.044822      0.024444
19640131       0.069034      0.026926
19640228       0.052122      0.009865
19640331       0.044376      0.015167
19640430      -0.040387      0.006077
19640528       0.054910      0.011452
19640630      -0.006250      0.016424
19640731      -0.031447      0.018240
19640831      -0.043831     -0.016230
19640930      -0.009081      0.028718
19641030      -0.037801      0.008078
19641130      -0.014881     -0.005185
19641231      -0.007273      0.003909
19650129       0.095238      0.033156
19650226       0.019509     -0.001485
19650331      -0.003291     -0.014526
19650430       0.067694      0.034239
19650528      -0.011340     -0.007743
19650630      -0.041841     -0.048632
19650730       0.045852      0.013433
19650831       0.044885      0.022522
19650930       0.027054      0.032006
19651029       0.040000      0.027345
19651130      -0.012195     -0.008764
19651231      -0.049524      0.008951
19660131      -0.006012      0.004869
19660228       0.041331     -0.017873
19660331       0.001942     -0.021815
19660429       0.080426      0.020509
19660531      -0.021031     -0.054140
19660630      -0.029680     -0.016138
19660729      -0.027817     -0.013453
19660831      -0.056200     -0.077751
19660930      -0.009360     -0.007004
19661031       0.045669      0.047544
19661130       0.135843      0.003117
