Open High Low Close Volumn AdjClose
14.8 14.93 14.59 14.9 5266200 7.42
15.03 15.38 14.88 14.9 13947600 7.42
14.79 15 14.47 14.85 12226600 7.39
14.58 14.71 14.44 14.55 8201600 7.24
14.62 14.92 14.5 14.68 7687600 7.31
14.58 14.82 14.49 14.72 6253600 7.33
14.9 14.9 14.36 14.63 6390800 7.28
14.69 14.82 14.49 14.61 6673600 7.27
14.59 14.7 14.26 14.43 13254600 7.18
14.21 14.76 14.21 14.62 19966800 7.28
14.56 14.56 14.08 14.1 9527200 7.02
14.21 14.41 14 14.02 9052000 6.98
13.98 14.15 13.8 13.88 7683600 6.91
14.05 14.36 13.95 14.17 8152000 7.05
14.24 14.24 13.56 13.8 10909600 6.87
13.68 14.5 13.65 14.13 13978800 7.03
14.24 14.69 14.16 14.58 10223400 7.26
14.55 15.1 14.3 14.93 13323000 7.43
14.98 15.07 14.29 14.32 14537800 7.13
14.19 14.55 14.05 14.36 12186600 7.15
14.41 14.91 14.35 14.66 9456600 7.3
14.45 14.65 14.31 14.6 11336200 7.27
14.71 14.93 14.44 14.45 7914800 7.19
14.36 14.59 14.22 14.43 6398200 7.18
14.55 14.6 14.07 14.15 9632200 7.04
14.26 14.57 14.06 14.35 5996000 7.14
14.5 14.63 14.2 14.35 5885000 7.14
14.27 14.6 14.27 14.39 8167400 7.16
14.41 14.64 14.24 14.54 7446200 7.24
14.61 14.72 14.35 14.67 8689200 7.3
14.75 15.3 14.72 15.27 10389200 7.6
15.07 15.15 14.68 14.85 8584600 7.39
14.85 14.96 14.71 14.77 8012600 7.35
14.82 15.06 14.65 15 5623000 7.47
14.86 15.03 13.8 14.74 6437600 7.34
14.68 15.08 14.58 15.02 6737200 7.48
14.99 15.02 14.48 14.5 7753400 7.22
14.57 15 14.51 14.86 5512200 7.4
14.86 15.09 14.77 15.01 6967800 7.47
15.01 15.16 14.55 14.65 7277200 7.29
14.74 14.81 14.44 14.56 4514800 7.25
14.61 14.8 14.52 14.62 4524400 7.28
14.58 14.6 14.4 14.56 3566400 7.25
14.47 14.71 14.31 14.53 7178000 7.23
14.51 14.67 14.3 14.37 4806200 7.15
14.36 14.49 14.12 14.23 5756800 7.08
14.17 14.39 14.06 14.22 7948600 7.08
14.47 14.8 14.17 14.72 11980200 7.33
14.68 15.01 14.64 14.78 5467800 7.36
14.89 15.07 14.71 15.01 14282600 7.47
15 15.09 14.82 15 8213600 7.47
15.07 15.15 14.79 14.95 5047000 7.44
14.93 14.99 14.6 14.91 5827800 7.42
15.09 15.15 14.82 15 10641000 7.47
14.67 14.8 14.35 14.37 5753600 7.15
14.41 14.83 14.37 14.55 5989200 7.24
14.55 14.56 14.3 14.41 6369400 7.17
14.32 14.7 14.32 14.49 4371200 7.21
14.4 14.62 14.37 14.57 5189400 7.25
14.33 14.53 14.04 14.14 9166400 7.04
14.2 14.31 14.07 14.16 5512200 7.05
14.36 14.69 14.27 14.6 6120400 7.27
14.56 14.7 14.35 14.46 5204000 7.2
14.52 14.67 14.39 14.41 5215000 7.17
14.85 14.95 14.41 14.49 7030800 7.21
14.51 14.65 14.36 14.45 4604800 7.19
14.52 14.62 14.14 14.19 5240200 7.06
14.2 14.39 14.2 14.37 3825000 7.15
14.05 14.44 12.93 13.2 49739600 6.57
13.71 13.75 13.5 13.58 17962800 6.76
13.59 13.6 13.3 13.39 10856000 6.67
12.99 13.67 12.92 13.24 36292000 6.59
13.2 13.25 12.72 13.12 22009200 6.53
13.13 13.19 12.98 13.14 5440000 6.54
13.18 13.62 13.09 13.51 10734600 6.73
13.53 13.63 13.36 13.58 7488600 6.76
13.52 13.61 13 13.44 11611000 6.69
13.46 13.58 13.23 13.35 7332800 6.65
13.48 13.96 13.43 13.86 22742800 6.9
13.98 14.16 13.58 14.06 16365600 7
13.93 14.35 13.85 14.22 16363400 7.08
14.25 14.39 14 14.36 12241400 7.15
14.46 14.59 14.34 14.45 11470800 7.19
14.77 16.88 14.75 16.09 55561000 8.01
16.12 17.9 16.1 17.5 54089000 8.71
17.33 18.24 17.11 17.65 37656400 8.79
17.7 18.07 17.29 18 24562000 8.96
18.33 18.4 17.88 18.3 21013800 9.11
18.15 18.74 18.13 18.56 14977600 9.24
18.43 18.97 17.95 18.67 15957000 9.3
18.83 18.84 18.43 18.55 12696000 9.24
18.6 18.85 18.47 18.73 10178400 9.32
18.59 19.01 18.28 18.8 12201000 9.36
18.53 18.65 18.06 18.1 15924600 9.01
18.1 18.16 17.6 17.79 14865000 8.86
17.79 18.09 17.67 17.85 10893200 8.89
17.89 18.4 17.74 18.24 6373600 9.08
18.21 18.46 17.96 18.32 7382800 9.12
17.96 18.9 17.91 18.88 10361800 9.4
18.5 18.66 18.15 18.28 12131400 9.1
18.29 18.5 17.9 18.1 11920200 9.01
18.12 18.18 17.53 17.95 13669600 8.94
18.1 18.29 17.27 17.45 14949600 8.69
17.44 17.67 17.02 17.31 12887800 8.62
17.3 17.79 17.14 17.6 9685800 8.76
17.45 17.74 17.33 17.64 7339200 8.78
17.74 18.04 17.14 17.15 8621000 8.54
16.94 17.04 16.63 16.79 9284000 8.36
16.89 17.29 16.75 17.18 6308800 8.55
17.15 17.51 16.81 17.45 8039800 8.69
17.55 17.88 17.45 17.77 9021000 8.85
17.75 17.95 17.13 17.42 6830200 8.67
17.6 18.27 17.45 18.27 8518800 9.1
18.41 18.5 17.99 18.19 6338000 9.06
18.45 19.48 18.31 19.12 16249400 9.52
19.36 19.61 18.77 19.14 13626000 9.53
19.35 19.58 18.9 19.2 12733800 9.56
19.3 19.69 18.75 19.06 10977200 9.49
19.47 19.67 18.72 18.78 18370800 9.35
18.86 19.4 18.71 19.09 11779000 9.5
18.7 19.32 18.7 19.29 5775200 9.6
19.3 19.31 18.48 18.73 13064000 9.32
18.68 19.21 18.59 19.06 7934000 9.49
18.87 19.18 18.51 19.09 6464000 9.5
19.03 19.4 19.02 19.27 11617800 9.59
19 19.55 18.98 19.13 4920400 9.52
19.27 20.18 19.13 19.87 10224000 9.89
19.52 20.5 19.49 20.4 9169200 10.16
20.21 20.45 19.89 19.89 7630200 9.9
19.88 19.94 19.37 19.58 6104800 9.75
19.66 20 19.53 19.85 4887800 9.88
20.01 20.4 19.87 19.9 6728800 9.91
20.02 20.24 19.43 19.61 7380200 9.76
19.97 20 19.38 19.87 8961800 9.89
20.19 20.95 20.13 20.9 26829000 10.41
20.9 21.18 20.4 20.86 10672800 10.39
20.69 20.8 20.3 20.61 6564600 10.26
20.87 20.96 20.5 20.8 7086600 10.36
20.95 20.96 20.46 20.79 5108400 10.35
21.04 21.5 20.38 20.51 8187000 10.21
20.41 21.57 20.4 21.54 7738800 10.72
21.5 21.5 20.86 20.99 6084200 10.45
20.99 21.08 20.52 20.72 7040000 10.32
20.77 20.9 20.17 20.28 6199800 10.1
20.74 21.35 20.57 21.08 10766600 10.49
21 21.27 20.64 20.73 5343000 10.32
20.53 21.5 20.28 21.21 8218400 10.56
21.35 21.4 20.1 20.38 8908600 10.15
20.06 20.17 19.5 19.63 8766600 9.77
19.73 20.09 19.42 19.93 6227800 9.92
20.11 20.13 19.6 19.64 4916400 9.78
19.82 19.93 19.51 19.66 4901000 9.79
19.76 19.8 19.46 19.7 5872800 9.81
19.86 20.34 19.58 20.18 10146400 10.05
20.21 20.33 19.94 19.97 6885000 9.94
20.02 20.07 19.66 19.71 4495200 9.81
