Day Mon Year    Open	 High	Low	Close
5 1 2008	20.78	20.83	18.87	18.88
5 2 2008	18.87	19.11	17.97	18.18
5 5 2008	18.68	19.29	18.68	18.9
5 6 2008	18.9	19.57	18.11	18.21
5 7 2008	18.48	19.98	18.42	19.73
5 8 2008	19.73	19.92	18.62	19.4
5 9 2008	19.98	20.01	19.3	19.41
5 12 2008	19.17	19.48	16.92	17.79
5 13 2008	17.79	18.63	17.76	17.98
5 14 2008	17.98	17.98	16.74	17.66
5 15 2008	17.65	17.84	16.25	16.3
5 16 2008	16.3	17.92	16.3	16.47
5 19 2008	16.47	17.89	15.82	17.01
5 20 2008	17.02	18.42	17.02	17.58
5 21 2008	17.64	18.89	17.01	18.59
5 22 2008	18.92	19.11	17.82	18.05
5 23 2008	18.58	19.8	18.38	19.55
5 27 2008	20.78	20.95	19.42	19.64
5 28 2008	19.64	20.03	19.01	19.07
5 29 2008	19.08	19.17	17.54	18.14
5 30 2008	18.14	18.21	17.56	17.83
6 2 2008	17.83	20.45	17.83	19.83
6 3 2008	19.8	21	18.89	20.24
6 4 2008	20.64	21.31	19.76	20.8
6 5 2008	20.54	20.59	18.62	18.63
6 6 2008	18.63	23.79	18.63	23.56
6 9 2008	23.56	24.47	20.78	23.12
6 10 2008	24.37	24.42	22.31	23.18
6 11 2008	23.44	24.3	22.86	24.12
6 12 2008	23.61	23.98	21.91	23.33
6 13 2008	23.02	23.14	21.04	21.22
6 16 2008	21.22	22.84	20.73	20.95
6 17 2008	20.96	21.42	20.02	21.13
6 18 2008	21.67	22.86	21.26	22.24
6 19 2008	22.24	22.61	20.91	21.58
6 20 2008	21.58	23.7	21.58	22.87
6 23 2008	22.89	23.14	22.52	22.64
6 24 2008	22.69	23.48	21.68	22.42
6 25 2008	22.42	22.42	20.34	21.14
6 26 2008	22.23	23.99	22.15	23.93
6 27 2008	23.75	24.56	23.3	23.44
6 30 2008	24.25	24.26	23.27	23.95
7 1 2008	25.14	25.57	23.64	23.65
7 2 2008	23.4	25.96	22.7	25.92
7 3 2008	25.92	26.08	24.44	24.78
7 7 2008	25.48	26.91	24.73	25.78
7 8 2008	25.72	26.05	23.02	23.15
7 9 2008	23.16	25.39	22.59	25.23
7 10 2008	25.22	26.62	25.07	25.59
7 11 2008	25.56	29.44	25.56	27.49
7 14 2008	27.49	29.3	26.9	28.48
