date       dec1     dec2    dec9    dec10
19670131 0.068568 0.080373 0.180843 0.211806
19670228 0.008735 0.011044 0.048767 0.064911
19670331 0.039698 0.035364 0.067494 0.068904
19670428 0.04403 0.037541 0.040785 0.044602
19670531 -0.050631 -0.036233 -0.002191 0.000295
19670630 0.014998 0.01887 0.102075 0.118678
19670731 0.041034 0.051373 0.089876 0.1048
19670831 -0.008704 -0.003777 -0.004674 0.011887
19670929 0.03492 0.021973 0.073676 0.088675
19671031 -0.017631 -0.053763 -0.030405 -0.007511
19671130 0.007657 0.001845 0.012547 -0.012048
19671229 0.02325 0.033111 0.101914 0.112981
19680131 -0.046267 -0.040359 0.007135 0.076514
19680229 -0.024984 -0.032197 -0.055084 -0.075146
19680329 0.012511 -0.003027 -0.015568 -0.016972
19680430 0.080396 0.085935 0.161241 0.170134
19680531 0.011076 0.028609 0.096214 0.13855
19680628 0.007917 0.023493 0.003688 0.013114
19680730 -0.015339 -0.022999 -0.038548 -0.020943
19680830 0.013173 0.016034 0.042423 0.047302
19680930 0.031751 0.053948 0.066513 0.070898
19681031 0.00741 0.016422 -0.00967 0.0041
19681129 0.047482 0.066408 0.070788 0.072423
19681231 -0.044984 -0.029151 0.010592 0.033044
19690131 -0.008208 -0.000299 -0.019187 0.004643
19690228 -0.037417 -0.065761 -0.095074 -0.103165
19690328 0.041346 0.011199 0.030027 0.018273
19690430 0.024883 0.018685 -0.003889 -0.004934
19690529 0.006649 -0.001651 0.003673 0.011502
19690630 -0.048659 -0.069702 -0.128577 -0.132533
19690731 -0.056311 -0.063499 -0.111659 -0.117458
19690829 0.050951 0.03982 0.054845 0.041077
19690930 -0.030304 -0.00765 -0.033037 -0.031771
19691031 0.041143 0.071243 0.09676 0.112035
19691128 -0.026198 -0.036227 -0.072298 -0.070327
19691231 -0.010351 -0.023517 -0.068192 -0.089239
19700130 -0.080692 -0.068004 -0.043693 -0.009592
19700227 0.056258 0.07707 0.040517 0.025837
19700331 0.001078 -0.011366 -0.036098 -0.035673
19700430 -0.084833 -0.10964 -0.177406 -0.187493
19700529 -0.048462 -0.07401 -0.101702 -0.094647
19700630 -0.048952 -0.047306 -0.08531 -0.087369
19700731 0.073319 0.07313 0.057671 0.040341
19700831 0.044079 0.055228 0.06375 0.058201
19700930 0.029107 0.042906 0.137416 0.163561
19701030 -0.004906 -0.024022 -0.068092 -0.079411
19701130 0.054586 0.060109 0.002067 -0.031902
19701231 0.050112 0.068955 0.093818 0.094088
19710129 0.034885 0.053614 0.131944 0.182548
19710226 0.013189 0.015037 0.047367 0.068243
19710331 0.041144 0.035396 0.046002 0.063385
19710430 0.034221 0.038489 0.029759 0.01949
19710528 -0.037548 -0.029219 -0.062733 -0.06478
19710630 0.006808 -0.00051 -0.027439 -0.030383
19710730 -0.038081 -0.037829 -0.065584 -0.06669
19710831 0.039668 0.038182 0.05491 0.030787
19710930 -0.004516 -0.00809 0.000195 -2.8e-05
19711029 -0.032954 -0.054115 -0.062275 -0.068634
19711130 0.009671 -0.010698 -0.044812 -0.054719
19711231 0.079864 0.095033 0.132976 0.126949
19720131 0.016369 0.028511 0.111935 0.152311
19720229 0.030204 0.029931 0.032985 0.042728
19720330 0.012325 -0.002066 -0.004181 -0.00819
19720428 0.007168 0.008691 -0.001257 0.001503
19720531 0.027161 0.007478 -0.025637 -0.033376
19720630 -0.014936 -0.03071 -0.036085 -0.040016
19720731 0.009158 -0.020557 -0.051803 -0.036376
19720831 0.037061 0.050653 -0.004622 -0.001045
19720929 0.001613 -0.019101 -0.042264 -0.043812
19721031 0.014394 0.011725 -0.023347 -0.033214
19721130 0.040127 0.065779 0.052936 0.042128
19721229 0.022182 -0.004857 -0.020323 -0.03189
19730131 -0.004979 -0.072329 -0.05205 -0.033162
19730228 -0.031568 -0.048032 -0.085564 -0.084468
19730330 0.002759 -0.016991 -0.028426 -0.030544
19730430 -0.038118 -0.056069 -0.081071 -0.085084
19730531 -0.006239 -0.019389 -0.096901 -0.104067
19730629 0.001023 -0.027391 -0.043801 -0.044644
19730731 0.03358 0.075324 0.145697 0.150538
19730831 -0.034154 -0.012549 -0.055687 -0.073051
19730928 0.028717 0.090222 0.105907 0.076823
19731031 0.004062 -0.02148 -0.008499 0.001446
19731130 -0.098924 -0.13566 -0.206715 -0.199853
19731231 0.015834 0.010668 -0.029664 -0.062624
19740131 -0.021841 0.025216 0.178253 0.202554
19740228 -0.001581 0.012267 -0.00598 -0.008725
19740329 -0.022258 -0.031543 -0.001827 0.011522
19740430 -0.034169 -0.064395 -0.059521 -0.062462
19740531 -0.018382 -0.068651 -0.079307 -0.079801
19740628 -0.013298 -0.030279 -0.029587 -0.026679
19740731 -0.086102 -0.050734 -0.048179 -0.054411
19740830 -0.082207 -0.102441 -0.087674 -0.0824
19740930 -0.124626 -0.076541 -0.082329 -0.078183
19741031 0.173961 0.176748 0.092736 0.077082
19741129 -0.047427 -0.019068 -0.053914 -0.072223
19741231 -0.018764 -0.019956 -0.089879 -0.099849
19750131 0.102644 0.174092 0.335371 0.402605
19750228 0.068822 0.045027 0.039284 0.025067
19750331 0.01678 0.034792 0.099781 0.126137
19750430 0.049074 0.03937 0.045726 0.014451
19750530 0.054235 0.049397 0.073342 0.073454
19750630 0.040561 0.080278 0.075801 0.101392
19750731 -0.068987 -0.059034 -0.033234 0.008975
19750829 -0.015699 -0.019284 -0.065993 -0.071067
19750930 -0.035695 -0.032386 -0.034944 -0.035721
19751031 0.065669 0.059346 0.02183 -0.004053
19751128 0.029495 0.02965 0.027153 0.02453
19751231 -0.015052 0.000157 -0.012313 -0.018419
19760130 0.110547 0.129526 0.22557 0.273677
19760227 -0.017872 0.018792 0.110527 0.163815
19760331 0.039322 0.005838 0.007587 0.00289
19760430 -0.010542 -0.010469 -0.022683 -0.027655
19760528 -0.007063 -0.004697 -0.025822 -0.035147
19760630 0.041786 0.055836 0.029171 0.024088
19760730 -0.008924 -0.009154 0.002512 -0.005917
19760831 0.003661 0.000953 -0.017056 -0.027198
19760930 0.026106 0.02376 0.019653 0.018059
19761029 -0.01976 -0.027805 -0.030639 -0.022953
19761130 -0.007277 0.024965 0.042815 0.016488
19761231 0.047675 0.071218 0.106467 0.111061
19770131 -0.049291 -0.039702 0.035524 0.053905
19770228 -0.014298 -0.025348 -0.014093 -0.007405
19770331 -0.018091 -0.002212 0.007848 0.006871
19770429 -0.003659 0.017994 0.008339 0.01409
19770531 -0.015803 -0.006419 -0.009083 -0.00149
19770630 0.047698 0.050767 0.074592 0.074829
19770729 -0.013255 -0.021676 -0.003122 0.005767
19770831 -0.011677 -0.022938 -0.016348 -0.02019
19770930 -0.001951 -0.000995 0.014111 0.017767
19771031 -0.043407 -0.036093 -0.021759 -0.031608
19771130 0.031112 0.047278 0.103846 0.089596
19771230 0.004479 0.006829 0.013388 0.014722
19780131 -0.062186 -0.057471 -0.020631 0.00478
19780228 -0.016074 -0.01782 0.027277 0.032579
19780331 0.019256 0.039867 0.078042 0.092997
19780428 0.090255 0.075704 0.087632 0.08516
19780531 0.006843 0.02675 0.068662 0.081704
19780630 -0.018249 -0.015104 0.00163 0.001854
19780731 0.055644 0.049352 0.05679 0.052701
19780831 0.02979 0.035443 0.072012 0.121905
19780929 -0.005209 -0.006671 -0.011056 -0.002263
19781031 -0.076646 -0.125223 -0.241447 -0.239397
19781130 0.030149 0.034387 0.069869 0.073003
19781229 0.020203 0.000248 0.010811 -0.00079
19790131 0.035101 0.052476 0.114372 0.12059
19790228 -0.027509 -0.031935 -0.025555 -0.02517
19790330 0.0493 0.073203 0.105335 0.094505
19790430 0.003393 -0.00127 0.018507 0.02909
19790531 -0.018502 -0.003652 -0.005546 -0.007959
19790629 0.03538 0.062144 0.054039 0.04903
19790731 0.004935 0.027496 0.021246 0.019436
19790831 0.056733 0.060304 0.08945 0.08157
19790928 0.002751 0.000984 -0.01117 -0.014482
19791031 -0.055801 -0.079816 -0.119663 -0.108689
19791130 0.051129 0.066653 0.094154 0.063935
19791231 0.01199 0.04052 0.074767 0.073014
19800131 0.061682 0.066161 0.10014 0.114047
19800229 0.016553 -0.025146 -0.027364 -0.027541
19800331 -0.096744 -0.116833 -0.18918 -0.192455
19800430 0.042414 0.057822 0.065893 0.056609
19800530 0.047808 0.069866 0.06655 0.071021
19800630 0.02848 0.04234 0.039126 0.040632
19800731 0.054632 0.080625 0.137272 0.108809
19800829 0.013449 0.025002 0.072781 0.082943
19800930 0.024628 0.035898 0.027316 0.028708
19801031 0.020754 0.014414 0.04132 0.032605
19801128 0.129188 0.085953 0.069025 0.027352
19801231 -0.039689 -0.017899 -0.033371 -0.031815
19810130 -0.057169 -0.033817 0.01674 0.034188
19810227 0.01774 0.008944 0.014133 0.00991
19810331 0.019261 0.077539 0.095843 0.093096
19810430 -0.029966 -0.008781 0.032499 0.038398
19810529 -0.001835 0.022585 0.028022 0.034391
19810630 -0.000546 -0.014301 -0.009901 0.009558
19810731 0.008963 -0.010012 -0.037194 -0.025912
19810831 -0.052426 -0.058096 -0.080668 -0.080764
19810930 -0.051993 -0.051525 -0.078797 -0.086296
19811030 0.0505 0.072269 0.090751 0.081734
19811130 0.051194 0.033292 0.025897 0.020277
