date            ibm           sp
19670131       0.075370      0.078178
19670228       0.079099      0.001963
19670331       0.048837      0.039410
19670428       0.100887      0.042239
19670531      -0.035234     -0.052441
19670630       0.067024      0.017512
19670731       0.020603      0.045344
19670831      -0.013589     -0.011715
19670929       0.097049      0.032785
19671031       0.082535     -0.029056
19671130       0.033024      0.001065
19671229       0.024510      0.026277
19680131      -0.051834     -0.043848
19680229      -0.022204     -0.031223
19680329       0.056034      0.009400
19680430       0.106122      0.081929
19680531       0.055793      0.011169
19680628      -0.009104      0.009120
19680730      -0.042403     -0.018478
19680830      -0.009151      0.011459
19680930       0.000000      0.038539
19681031      -0.081642      0.007208
19681129       0.087134      0.047964
19681231      -0.056180     -0.041617
19690131      -0.059524     -0.008184
19690228      -0.007004     -0.047374
19690328       0.070303      0.034444
19690430       0.044586      0.021476
19690529      -0.025000     -0.002218
19690630       0.058777     -0.055577
19690731      -0.039230     -0.060178
19690829       0.066256      0.040074
19690930       0.000725     -0.025024
19691031       0.044171      0.044244
19691128      -0.006935     -0.035274
19691231       0.021008     -0.018655
19700130      -0.080247     -0.076472
19700227       0.018494      0.052693
19700331      -0.005143      0.001453
19700430      -0.119645     -0.090483
19700529      -0.063087     -0.060967
19700630      -0.100719     -0.050033
19700731       0.013800      0.073295
19700831       0.055500      0.044459
19700930       0.095775      0.032998
19701030       0.011825     -0.011400
19701130       0.045068      0.047447
19701231       0.034174      0.056766
19710129       0.024390      0.040477
19710226       0.037788      0.009074
19710331       0.062407      0.036796
19710430       0.000699      0.036288
19710528      -0.082320     -0.041558
19710630      -0.030581      0.000703
19710730      -0.081230     -0.041324
19710831       0.048240      0.036095
19710930      -0.000822     -0.006968
19711029      -0.010700     -0.041794
19711130       0.020965     -0.002547
19711231       0.101473      0.086179
19720131       0.093611      0.018121
19720229       0.005027      0.025303
19720330       0.037313      0.005912
19720428       0.009810      0.004384
19720531       0.033938      0.017275
19720630      -0.014456     -0.021821
19720731       0.022321      0.002333
19720831       0.022707      0.034454
19720929      -0.004896     -0.004861
19721031      -0.051661      0.009317
19721130       0.017769      0.045617
19721229       0.028133      0.011828
19730131       0.083333     -0.017111
19730228      -0.005970     -0.037490
19730330       0.000000     -0.001433
19730430      -0.054461     -0.040800
19730531      -0.032261     -0.018884
19730629       0.007149     -0.006575
19730731      -0.007886      0.037982
19730831      -0.039364     -0.036685
19730928      -0.142857      0.040096
19731031       0.086240     -0.001291
19731130      -0.050419     -0.113861
19731231      -0.068868      0.016569
19740131      -0.006079     -0.010046
19740228      -0.024852     -0.003624
19740329      -0.008933     -0.023280
19740430      -0.036055     -0.039051
19740531      -0.059274     -0.033551
19740628       0.001176     -0.014665
19740731      -0.052291     -0.077791
19740830      -0.040298     -0.090279
19740930      -0.171875     -0.119335
19741031       0.189465      0.163047
19741129      -0.054858     -0.053180
19741231      -0.052186     -0.020151
19750131       0.120536      0.122812
19750228       0.152722      0.059886
19750331      -0.041183      0.021694
19750430       0.015729      0.047265
19750530       0.031566      0.044101
19750630      -0.027907      0.044323
19750731      -0.089713     -0.067654
19750829      -0.011827     -0.021070
19750930       0.010738     -0.034645
19751031       0.127490      0.061643
19751128       0.074794      0.024708
19751231      -0.009387     -0.011508
19760130       0.149387      0.118306
19760227      -0.001455     -0.011402
19760331       0.024939      0.030689
19760430      -0.032920     -0.010995
19760528       0.019734     -0.014364
19760630       0.078422      0.040926
19760730      -0.016712     -0.008055
19760831       0.013780     -0.005124
19760930       0.028323      0.022641
19761029      -0.034207     -0.022235
19761130       0.005520     -0.007775
19761231       0.029982      0.052498
19770131      -0.013883     -0.050530
19770228       0.011807     -0.021660
19770331       0.001812     -0.014025
19770429      -0.064195      0.000203
19770531      -0.041546     -0.023568
19770630       0.075356      0.045360
19770729       0.015625     -0.016222
19770831       0.010256     -0.021042
19770930      -0.027480     -0.002480
19771031      -0.014368     -0.043406
19771130       0.035957      0.026966
19771230       0.035985      0.002847
19780131      -0.029250     -0.061514
19780228      -0.042825     -0.024762
19780331      -0.062687      0.024931
19780428       0.129512      0.085416
19780531      -0.018308      0.004234
19780630      -0.003872     -0.017585
19780731       0.092323      0.053910
19780831       0.048950      0.025924
19780929      -0.050964     -0.007261
19781031      -0.046029     -0.091574
19781130       0.030766      0.016640
19781229       0.107607      0.014889
19790131       0.034338      0.039746
19790228      -0.017198     -0.036526
19790330       0.051667      0.055152
19790430      -0.003962      0.001673
19790531      -0.021671     -0.026336
19790629      -0.034539      0.038656
19790731      -0.049404      0.008746
19790831       0.015914      0.053078
19790928      -0.032143      0.000000
19791031      -0.079336     -0.068606
19791130       0.059880      0.042624
19791231      -0.013410      0.016767
19800131       0.066019      0.057625
19800229      -0.062149     -0.004380
19800331      -0.122047     -0.101795
19800430      -0.015695      0.041140
19800530       0.024784      0.046571
19800630       0.060948      0.026969
19800731       0.110638      0.065039
19800829       0.017011      0.005835
19800930      -0.020992      0.025168
19801031       0.038986      0.016021
19801128       0.035422      0.102377
19801231      -0.003670     -0.033874
19810130      -0.051565     -0.045742
19810227       0.011417      0.013277
19810331      -0.029183      0.036033
19810430      -0.060120     -0.023456
19810529       0.016802     -0.001657
19810630      -0.014894     -0.010408
19810731      -0.030238     -0.002210
19810831      -0.002494     -0.062099
19810930      -0.018141     -0.053832
19811030      -0.048499      0.049148
19811130       0.074951      0.036590
19811231       0.043578     -0.030075
19820129       0.118681     -0.017544
19820226      -0.013988     -0.060548
19820331      -0.034343     -0.010167
19820430       0.075314      0.040014
19820528      -0.029416     -0.039162
19820630      -0.014228     -0.020290
19820730       0.082474     -0.022991
19820831       0.087390      0.115977
19820930       0.040780      0.007614
19821029       0.088586      0.110364
19821130       0.093709      0.036123
19821231       0.112717      0.015158
19830131       0.027273      0.033134
19830228       0.009962      0.018995
19830331       0.027778      0.033095
19830429       0.149877      0.074922
19830531      -0.041026     -0.012346
19830630       0.080899      0.035224
19830729       0.001040     -0.033014
19830831       0.000623      0.011319
19830930       0.061715      0.010158
19831031      -0.000985     -0.015174
19831130      -0.066469      0.017426
19831230       0.039404     -0.008834
19840131      -0.064549     -0.009216
19840229      -0.025630     -0.038859
19840330       0.034014      0.013498
19840430      -0.002193      0.005466
19840531      -0.044396     -0.059356
19840629      -0.018561      0.017469
19840731       0.047281     -0.016451
19840831       0.127314      0.106332
19840928       0.004040     -0.003480
19841031       0.011871     -0.000060
19841130      -0.023069     -0.015112
19841231       0.011294      0.022374
19850131       0.107614      0.074085
19850228      -0.009349      0.008685
19850329      -0.052239     -0.002925
19850430      -0.003937     -0.004594
19850531       0.025494      0.054051
19850628      -0.037901      0.012134
19850731       0.061616     -0.004848
19850830      -0.027783     -0.011995
19850930      -0.021718     -0.034724
19851031       0.048436      0.042509
19851129       0.084504      0.065062
19851231       0.112701      0.045061
19860131      -0.025723      0.002367
19860228       0.003135      0.071489
19860331       0.004143      0.052794
19860430       0.031353     -0.014148
19860530      -0.017760      0.050229
19860630      -0.038556      0.014110
19860731      -0.095563     -0.058683
19860829       0.055472      0.071193
19860930      -0.030631     -0.085439
19861031      -0.080855      0.054729
19861128       0.037209      0.021477
19861231      -0.056047     -0.028288
19870130       0.072917      0.131767
19870227       0.092039      0.036924
19870331       0.076165      0.026390
19870430       0.066611     -0.011450
19870529       0.006089      0.006034
19870630       0.015625      0.047915
19870731      -0.009231      0.048224
19870831       0.052640      0.034959
19870930      -0.104677     -0.024166
19871030      -0.187396     -0.217630
19871130      -0.086939     -0.085349
19871231       0.042889      0.072861
19880129      -0.027056      0.040432
19880229       0.055395      0.041817
19880331      -0.084043     -0.033343
19880429       0.053426      0.009425
19880531       0.001985      0.003176
19880630       0.132222      0.043256
19880729      -0.012758     -0.005411
19880831      -0.104573     -0.038600
19880930       0.034753      0.039729
19881031       0.062839      0.025964
19881130      -0.024669     -0.018891
19881230       0.028481      0.014688
19890131       0.071795      0.071115
19890228      -0.061435     -0.028944
19890331      -0.101852      0.020806
19890428       0.044674      0.050090
19890531      -0.027763      0.035138
19890630       0.020525     -0.007925
19890731       0.027933      0.088370
19890831       0.029000      0.015517
19890929      -0.067236     -0.006544
19891031      -0.082380     -0.025175
19891130      -0.014115      0.016541
19891229      -0.035851      0.021417
19900131       0.047809     -0.068817
19900228       0.065501      0.008539
19900330       0.021661      0.024255
19900430       0.027091     -0.026887
19900531       0.112018      0.091989
19900629      -0.020833     -0.008886
19900731      -0.051064     -0.005223
19900831      -0.075471     -0.094314
19900928       0.044172     -0.051184
19901031      -0.009401     -0.006698
19901130       0.089775      0.059934
19901231      -0.005501      0.024828
19910131       0.121681      0.041518
19910228       0.025325      0.067281
19910328      -0.115534      0.022203
19910430      -0.095499      0.000346
19910531       0.042087      0.038577
19910628      -0.084806     -0.047893
19910731       0.042471      0.044859
19910830      -0.031259      0.019649
19910930       0.069677     -0.019144
19911031      -0.051870      0.011860
19911129      -0.046209     -0.043928
19911231      -0.037838      0.111588
19920131       0.011236     -0.019900
19920228      -0.021278      0.009565
19920331      -0.038849     -0.021832
19920430       0.086826      0.027893
19920529       0.013333      0.000964
19920630       0.078512     -0.017359
19920731      -0.031928      0.039374
19920831      -0.072982     -0.023998
19920930      -0.067821      0.009106
19921030      -0.171827      0.002106
19921130       0.038654      0.030262
19921231      -0.261905      0.010108
19930129       0.022333      0.007046
19930226       0.066311      0.010484
19930331      -0.064368      0.018697
19930430      -0.044226     -0.025417
19930528       0.095938      0.022717
19930630      -0.063981      0.000755
19930730      -0.098734     -0.005327
19930831       0.033708      0.034432
19930930      -0.081967     -0.009988
19931029       0.095238      0.019393
19931130       0.176630     -0.012911
19931231       0.048724      0.010091
19940131       0.000000      0.032501
19940228      -0.059735     -0.030045
19940331       0.033097     -0.045746
19940429       0.052632      0.011531
19940531       0.100000      0.012419
19940630      -0.067460     -0.026812
19940729       0.053191      0.031467
19940831       0.111111      0.037643
19940930       0.016423     -0.026898
19941031       0.070018      0.020834
19941130      -0.046980     -0.039505
19941230       0.038869      0.012299
19950131      -0.018707      0.024278
19950228       0.046794      0.036074
19950331       0.091362      0.027329
19950428       0.152207      0.027960
19950531      -0.014531      0.036312
19950630       0.032258      0.021279
19950731       0.134115      0.031776
19950831      -0.048220     -0.000320
19950929      -0.085852      0.040098
19951031       0.029101     -0.004979
19951130      -0.003856      0.041049
19951229      -0.054334      0.017444
19960131       0.187414      0.032617
19960229       0.132488      0.006934
19960329      -0.092762      0.007917
19960430      -0.031461      0.013431
19960531      -0.006032      0.022853
19960628      -0.072600      0.002257
19960731       0.085859     -0.045748
19960830       0.067209      0.018814
19960930       0.088525      0.054173
19961031       0.036145      0.026131
19961129       0.238178      0.073376
19961231      -0.049412     -0.021505
19970131       0.035479      0.061317
19970228      -0.081434      0.005928
19970331      -0.045217     -0.042614
19970430       0.169399      0.058406
19970530       0.080374      0.058577
19970630       0.043353      0.043453
