year mon day  gdp
1947 01 01    237.2
1947 04 01    240.5
1947 07 01    244.6
1947 10 01    254.4
1948 01 01    260.4
1948 04 01    267.3
1948 07 01    273.9
1948 10 01    275.2
1949 01 01    270.0
1949 04 01    266.2
1949 07 01    267.7
1949 10 01    265.2
1950 01 01    275.2
1950 04 01    284.6
1950 07 01    302.0
1950 10 01    313.4
1951 01 01    329.0
1951 04 01    336.7
1951 07 01    343.6
1951 10 01    348.0
1952 01 01    351.3
1952 04 01    352.2
1952 07 01    358.5
1952 10 01    371.4
1953 01 01    378.4
1953 04 01    382.0
1953 07 01    381.1
1953 10 01    375.9
1954 01 01    375.3
1954 04 01    376.0
1954 07 01    380.8
1954 10 01    389.5
1955 01 01    402.6
1955 04 01    410.9
1955 07 01    419.5
1955 10 01    426.0
1956 01 01    428.3
1956 04 01    434.2
1956 07 01    439.3
1956 10 01    448.1
1957 01 01    457.2
1957 04 01    459.2
1957 07 01    466.4
1957 10 01    461.5
1958 01 01    454.0
1958 04 01    458.1
1958 07 01    471.7
1958 10 01    485.0
1959 01 01    495.4
1959 04 01    508.4
1959 07 01    509.3
1959 10 01    513.2
1960 01 01    526.9
1960 04 01    526.1
1960 07 01    528.9
1960 10 01    523.6
1961 01 01    527.9
1961 04 01    539.0
1961 07 01    549.4
1961 10 01    562.5
1962 01 01    576.0
1962 04 01    583.2
1962 07 01    590.0
1962 10 01    593.3
1963 01 01    602.4
1963 04 01    611.2
1963 07 01    623.9
1963 10 01    633.5
1964 01 01    649.6
1964 04 01    658.8
1964 07 01    670.5
1964 10 01    675.6
1965 01 01    695.7
1965 04 01    708.1
1965 07 01    725.2
1965 10 01    747.5
1966 01 01    770.8
1966 04 01    779.9
1966 07 01    793.4
1966 10 01    807.1
1967 01 01    817.9
1967 04 01    822.5
1967 07 01    837.1
1967 10 01    852.8
1968 01 01    879.9
1968 04 01    904.2
1968 07 01    919.4
1968 10 01    936.3
1969 01 01    961.0
1969 04 01    976.3
1969 07 01    996.5
1969 10 01   1004.6
1970 01 01   1017.3
1970 04 01   1033.2
1970 07 01   1050.7
1970 10 01   1052.9
1971 01 01   1098.3
1971 04 01   1119.1
1971 07 01   1139.3
1971 10 01   1151.7
1972 01 01   1190.6
1972 04 01   1225.9
1972 07 01   1249.7
1972 10 01   1287.0
1973 01 01   1335.5
1973 04 01   1371.9
1973 07 01   1391.2
1973 10 01   1432.3
1974 01 01   1447.0
1974 04 01   1485.3
1974 07 01   1514.2
1974 10 01   1553.4
1975 01 01   1570.0
1975 04 01   1605.6
1975 07 01   1663.1
1975 10 01   1714.6
1976 01 01   1772.6
1976 04 01   1804.9
1976 07 01   1838.3
1976 10 01   1885.3
1977 01 01   1939.3
1977 04 01   2006.0
1977 07 01   2066.8
1977 10 01   2111.6
1978 01 01   2150.0
1978 04 01   2275.6
1978 07 01   2336.2
1978 10 01   2417.0
1979 01 01   2464.4
1979 04 01   2527.6
1979 07 01   2600.7
1979 10 01   2660.5
1980 01 01   2725.3
1980 04 01   2729.3
1980 07 01   2786.6
1980 10 01   2916.9
1981 01 01   3052.7
1981 04 01   3085.9
1981 07 01   3178.7
1981 10 01   3196.4
1982 01 01   3186.8
1982 04 01   3242.7
1982 07 01   3276.2
1982 10 01   3314.4
1983 01 01   3382.9
1983 04 01   3484.1
1983 07 01   3589.3
1983 10 01   3690.4
1984 01 01   3809.6
1984 04 01   3908.6
1984 07 01   3978.2
1984 10 01   4036.3
1985 01 01   4119.5
1985 04 01   4178.4
1985 07 01   4261.3
1985 10 01   4321.8
1986 01 01   4385.6
1986 04 01   4425.7
1986 07 01   4493.9
1986 10 01   4546.1
1987 01 01   4613.8
1987 04 01   4690.0
1987 07 01   4767.8
1987 10 01   4886.3
1988 01 01   4951.9
1988 04 01   5062.8
1988 07 01   5146.6
1988 10 01   5253.7
1989 01 01   5367.1
1989 04 01   5454.1
1989 07 01   5531.9
1989 10 01   5584.3
1990 01 01   5716.4
1990 04 01   5797.7
1990 07 01   5849.4
1990 10 01   5848.8
1991 01 01   5888.0
1991 04 01   5964.3
1991 07 01   6035.6
1991 10 01   6095.8
1992 01 01   6196.1
1992 04 01   6290.1
1992 07 01   6380.5
1992 10 01   6484.3
1993 01 01   6542.7
1993 04 01   6612.1
1993 07 01   6674.6
1993 10 01   6800.2
1994 01 01   6911.0
1994 04 01   7030.6
1994 07 01   7115.1
1994 10 01   7232.2
1995 01 01   7298.3
1995 04 01   7337.7
1995 07 01   7432.1
1995 10 01   7522.5
1996 01 01   7624.1
1996 04 01   7776.6
1996 07 01   7866.2
1996 10 01   8000.4
1997 01 01   8113.8
1997 04 01   8250.4
1997 07 01   8381.9
1997 10 01   8471.2
1998 01 01   8586.7
1998 04 01   8657.9
1998 07 01   8789.5
1998 10 01   8953.8
1999 01 01   9066.6
1999 04 01   9174.1
1999 07 01   9313.5
1999 10 01   9519.5
2000 01 01   9629.4
2000 04 01   9822.8
2000 07 01   9862.1
2000 10 01   9953.6
2001 01 01  10021.5
2001 04 01  10128.9
2001 07 01  10135.1
2001 10 01  10226.3
2002 01 01  10333.3
2002 04 01  10426.6
2002 07 01  10527.4
2002 10 01  10591.1
2003 01 01  10705.6
2003 04 01  10831.8
2003 07 01  11086.1
2003 10 01  11219.5
2004 01 01  11405.5
2004 04 01  11610.3
2004 07 01  11779.4
2004 10 01  11948.5
2005 01 01  12155.4
2005 04 01  12297.5
2005 07 01  12538.2
2005 10 01  12696.4
2006 01 01  12959.6
2006 04 01  13134.1
2006 07 01  13249.6
2006 10 01  13370.1
2007 01 01  13510.9
2007 04 01  13737.5
2007 07 01  13950.6
2007 10 01  14031.2
2008 01 01  14150.8
2008 04 01  14294.5
2008 07 01  14412.8
2008 10 01  14200.3
