pends       anntime    value 
19830331   19830426   0.0375
19830630   19830725   0.0492
19830930   19831102   0.0463
19831231   19840214   0.0379
19840331   19840419   0.0425
19840630   19840720   0.0583
19840930   19841020   0.0558
19841231   19850221   0.0417
19850331   19850418   0.0450
19850630   19850719   0.0625
19850930   19851018   0.0617
19851231   19860220   0.0463
19860331   19860417   0.0525
19860630   19860718   0.0725
19860930   19861017   0.0750
19861231   19870219   0.0588
19870331   19870415   0.0612
19870630   19870716   0.0875
19870930   19871016   0.0900
19871231   19880217   0.0650
19880331   19880414   0.0710
19880630   19880716   0.1025
19880930   19881019   0.1010
19881231   19890201   0.0810
19890331   19890413   0.0900
19890630   19890713   0.1225
19890930   19891013   0.1160
19891231   19900131   0.0825
19900331   19900418   0.1035
19900630   19900718   0.1525
19900930   19901020   0.1450
19901231   19910204   0.1100
19910331   19910417   0.1200
19910630   19910717   0.1800
19910930   19911016   0.1725
19911231   19920131   0.1350
19920331   19920417   0.1450
19920630   19920714   0.2200
19920930   19921014   0.2050
19921231   19930128   0.1550
19930331   19930413   0.1750
19930630   19930716   0.2550
19930930   19931022   0.2300
19931231   19940128   0.1800
19940331   19940418   0.2000
19940630   19940718   0.2950
19940930   19941020   0.2750
19941231   19950126   0.2200
19950331   19950419   0.2450
19950630   19950720   0.3550
19950930   19951019   0.3200
19951231   19960125   0.2600
19960331   19960417   0.2850
19960630   19960715   0.4200
19960930   19961015   0.3900
19961231   19970131   0.3100
19970331   19970414   0.4000
19970630   19970717   0.4800
19970930   19971016   0.4100
19971231   19980128   0.3300
19980331   19980415   0.3400
19980630   19980716   0.4700
19980930   19981015   0.3500
19981231   19990126   0.2400
19990331   19990421   0.3000
19990630   19990715   0.3800
19990930   19991021   0.3200
19991231   20000126   0.3100
20000331   20000418   0.2200
20000630   20000719   0.4400
20000930   20001020   0.4200
20001231   20010131   0.3800
20010331   20010418   0.3500
20010630   20010718   0.4500
20010930   20011018   0.4500
20011231   20020129   0.3700
20020331   20020416   0.3700
20020630   20020717   0.5200
20020930   20021016   0.4800
20021231   20030212   0.4000
20030331   20030416   0.3700
20030630   20030717   0.5700
20030930   20031016   0.5500
20031231   20040211   0.4600
20040331   20040421   0.4600
20040630   20040722   0.6400
20040930   20041021   0.5000
20041231   20050216   0.4600
20050331   20050419   0.4700
20050630   20050721   0.6800
20050930   20051020   0.5700
20051231   20060207   0.4600
20060331   20060419   0.4900
20060630   20060718   0.7400
20060930   20061019   0.6200
20061231   20070214   0.5200
20070331   20070417   0.5600
20070630   20070717   0.8500
20070930   20071017   0.7100
20071231   20080213   0.5800
20080331   20080416   0.6700
20080630   20080717   1.0100
20080930   20081015   0.8300
20081231   20090212   0.6400
20090331   20090421   0.6500
20090630   20090721   0.9200
20090930   20091020   0.8200
