Source,As,Ba,Cd,Cr,Cu,Mn,Mo,Ni,Pb,Sb,Sr,V,Zn
Site1,0.701728639,76.1784901,0.081646023,-3.470121296,19.69988853,3.082432845,0.7452889,-1.862277092,7.283459886,4.69856669,0.742519071,-8.716315033,52.88063002
Site2,-1.919269099,41.009008,-0.00344909,30.68559639,10.64262703,4.512707246,0.938550197,7.227271387,4.803263316,2.502242791,0.638923435,24.41249015,34.02637507
Site1,0.739368011,71.91438326,0.654752517,51.51144589,33.79154657,14.81578476,3.466994798,17.95716527,50.66618538,7.755198992,2.201367325,47.1806681,88.258508
Site2,-2.596413594,41.87574546,0.082761457,22.84303936,5.353111489,4.546102165,0.572534428,5.640279732,4.722584549,1.352985708,0.648626049,17.08458493,44.91797478
Site2,0.938645348,79.95068263,0.105580364,42.08456895,19.88956091,6.280715439,2.280010342,16.36831628,8.973209703,4.665565939,1.238821864,36.51469065,86.46786619
Site2,2.71344206,83.47201336,0.717620867,27.58191418,26.96560491,27.52070031,2.944943549,9.068604558,38.65374395,7.910620407,0.839505795,30.04124676,117.8097452
Site1,-3.034884138,64.77099389,0.056873438,21.60319455,13.85161444,7.967017046,1.437075108,5.086855124,7.576736268,3.651202923,1.472968891,20.84683065,67.02750563
Site3,2.319939251,57.65550493,0.434388285,49.61776224,21.99366252,14.12715078,2.732379859,17.24379458,11.03219239,6.434507388,0.966595212,34.09310441,64.66293518
Site3,-0.709771695,38.48265662,0.286556361,28.72292438,19.72064034,7.634065758,2.249587186,9.890787708,10.1224222,5.397385434,0.899503419,26.23094758,53.64774583
Site1,-0.623042378,49.15643724,0.09187995,8.318703181,23.24094834,5.801626895,1.17019786,0.367944809,5.005355731,4.56461575,1.689499736,4.966288537,39.42795752
Site3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site1,1.243607892,112.8625848,0.282025526,5.149518971,17.34927776,16.76926926,1.563710666,0.796301571,13.36146955,4.975708304,2.014837611,12.6887669,105.7797289
Site3,-1.326180752,100.4795831,0.141942783,16.31323313,13.67921788,12.40154499,1.05567348,4.761978587,5.963184497,3.437337907,6.538311025,11.51186867,98.72471554
Site1,-2.241817707,129.2106356,0.071583978,18.39733028,16.89399294,7.215996725,1.257472632,4.047844249,5.740900813,4.074321043,2.210068922,20.25990253,101.796612
Site3,0.455225201,91.21965531,0.172739837,2.397593274,8.766632102,9.992622806,0.613685721,0.548320637,4.170358271,2.180435424,2.403279201,5.856899669,80.32564561
Site1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site3,-1.984350877,49.22437596,0.111075531,26.10995766,16.44035005,8.423136507,1.42188533,7.962349927,5.763325223,2.86121309,0.997384501,23.04081277,62.09072039
Site1,-0.974415802,73.21346682,0.066013499,23.45430786,12.72923324,5.84559729,1.197829328,6.72884248,4.347979114,2.97124821,1.011529389,10.83609464,78.09816877
Site3,-2.519845713,102.6626292,0.230340797,5.546926802,36.90032728,8.901423424,2.385792945,-0.369218342,9.564525784,9.516278135,1.812854556,-0.859273949,59.73824924
Site3,-0.673901264,159.5702943,0.165666992,-0.225998726,30.7134094,9.08540307,1.967770568,2.038494867,6.931350723,6.967700885,2.99032634,5.372554185,103.538705
Site1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site3,-2.599664851,50.79568859,0.163076706,28.45934553,12.00537645,6.382452543,1.234625646,9.686064688,5.11799708,2.79545569,0.801342364,22.74524163,48.6978152
Site1,-3.631637028,97.75911171,0.039768241,0.868637187,29.08765593,6.790745607,2.118049677,-2.189379655,7.400932335,7.363413677,1.59341743,-1.007970289,58.98768045
Site3,-4.033622187,69.03423239,0.118983455,3.115317256,31.40229556,4.679465273,1.535540634,0.653094375,4.259232302,6.1681365,2.493441321,0.762847438,47.73016517
Site1,1.632726905,152.9587237,0.192982794,2.785755397,43.61538013,11.14327688,3.0011722,0.479084163,16.43122923,10.18380699,2.311868013,-2.771304835,114.7138817
Site3,-2.96247772,45.32233567,0.239924229,19.4473107,20.36027822,5.207836678,1.44245948,5.800780206,7.246295185,3.775864852,0.80729187,19.49331275,51.15793823
Site1,-2.009578835,41.12279772,0.239514101,10.93049536,10.52626887,8.749969055,1.758568001,3.432611173,6.671400298,2.751952248,5.50052038,3.309677378,32.11757949
Site3,-2.612012508,10.17558866,0.050899385,1.08380462,3.063549469,2.05400598,0.114463914,-0.66079637,1.919408154,0.957901696,0.191048074,-5.433884689,14.44054845
