"Nitrogen Oxides","Respirable Particles"
163.1,39.2
205.6,34.6
284,27.3
209.5,34.6
197.9,24.2
305.7,34.8
381.4,45.1
587.5,64.5
403.7,50.3
323.5,57.8
200.2,40
184,26.9
229.9,31.2
273.5,33
147.7,25
210.2,29.1
148.6,24.6
146.4,15.4
194.8,19
268.8,23.1
229.4,24.9
191.6,21.5
189.4,19.1
297.3,34.2
121.4,12.2
276.2,31.4
293,37.8
177.4,23.2
123,35.2
151.5,
162.4,40.6
134.4,23.2
171.8,23.4
158.8,25.2
162.6,33.3
471.1,45
354.9,23.4
291.2,30
205.8,22
247.1,18.2
239.7,18.3
318,31.3
314.2,35.4
380.3,36.6
371.9,38.6
171.2,22.7
259.7,27.8
314.6,43.7
299.1,34.2
326.4,40.1
318.1,37.5
238.5,31.6
156.7,18.7
308.8,35.4
393.5,50.4
183.5,30.3
185.9,29.3
186.1,30.3
148.9,19.2
246.1,36.3
201.6,24.7
166.1,23
223.4,22.1
361.4,38.1
240.1,32.8
173,27.4
89.9,14.1
130.6,22.1
274.1,28.2
214.7,33
158.8,20.7
184.3,27.2
160.6,27
196.3,28.1
283.2,46.2
237.7,37.9
308.4,54.9
319.6,55.5
219.6,54.1
311.3,67.3
198.9,38.4
143.8,33.8
221.9,36.5
168.2,26.5
146.9,24.2
152.6,28.1
233.9,22.2
210.1,23.9
212,27.5
322.5,43.7
327,33.8
281.3,47.4
283.6,67.2
162.4,47.5
150.8,25.3
160.9,48.9
160.7,41
138,28.9
151.6,23.8
144.2,24
286.4,27.6
210.4,37.8
181.1,41.9
219.7,42.4
217.3,77.9
248.8,44.3
335.8,58.8
193.5,36.1
154.7,29.5
281.5,57
355.8,74.3
245.7,41.2
145.3,44
81.7,43.5
109,27.6
101.8,20.3
151.1,22.9
225.1,32.9
268.9,33.8
130.9,25.9
190.2,37.7
145,36.2
125.1,25
94.2,19.1
123.8,27.3
101.9,28
144.4,26.9
116.4,30.2
125.1,34.5
125.5,26.8
126,26.7
144,36.3
201.6,51
230.7,73.3
142.7,35.4
109,33.9
74.6,24.9
121.6,37.8
138.2,38.7
164.8,44
173.1,35.3
158.2,31.6
169.3,32
111,29
115.4,34.5
186.3,33.6
126.4,26.5
283.1,47.4
204.1,33.9
153.7,30.3
121.3,29.9
152.9,30.4
176.4,29.7
176.1,31.1
213.2,44.2
148.2,33.3
124.9,29.7
163.9,23.2
131,30.8
249.3,39.5
195.5,35.3
253.3,39.8
242.1,36.1
134.6,25.8
167.6,25.9
259.4,44.8
225.7,37.3
123.8,26.5
162.4,29.6
218.5,42.8
226.9,29.9
170.7,22.5
201,43.6
181.5,32.1
155.1,32.4
141.4,42.8
226.1,50.9
221.2,41.4
191.6,38.8
211.4,39.3
141.7,39.9
199.5,45.3
175.7,47.8
232.8,42.5
137,29.4
76.4,20.1
104.5,24.9
203.3,30
315.1,38.9
263.4,33
216.7,34.2
119.6,18.4
76.7,17.1
112.4,22.9
122.6,23
123.8,29.6
163.2,28.9
159,30.5
96.9,23.4
65.7,18.7
112,24
112.7,25.4
114.3,27.1
148.6,28.4
151.5,23.2
129.7,23.8
77.8,19.7
133.1,20.3
115.8,24.9
115,22.2
124.3,23.6
,28.9
131,31.1
120.7,24.1
119.6,23.4
,23.1
147.6,28.8
,40.6
,40.8
252.3,41.2
90.2,25.9
125.5,25.3
252,36.4
199.1,32.9
291.8,33
146.4,29.4
93.6,25.6
99.9,17.3
187,32
170.5,29.2
131.9,27.4
114.9,27.8
139.7,29.7
124.2,25.5
73.5,27.9
259.2,36.7
122.2,23.8
97.8,23.7
112.5,22.5
121.4,32.2
122.3,19.5
76.6,21.1
84,20.5
102.7,29.1
113.6,22.4
85.7,20.8
164.5,27.7
118.7,29.6
74.9,17.7
141.9,
130.6,
179.7,
163.1,
178.3,33.5
146.9,28.3
125.7,25.1
128,31.7
142.7,34.1
109.8,25.3
147.3,26.3
179.2,39.6
258.8,61.7
176.2,35
170.7,36.9
96.3,21.5
188.7,29
334,37
357.3,41.3
374.7,44
319.6,42.2
294.1,36.3
256.9,34.3
314.2,39.9
307.9,38.5
230.8,43.8
72.1,21.6
123.8,20.4
266.4,34.7
115.6,25.9
152.3,23.9
233,29.3
219,35.9
255,34.3
125.2,21.7
302.4,33.3
499.6,53.4
296.8,42
365.8,44.7
226.3,36.7
207.7,34.8
226.2,35.1
186.5,33.2
120.8,
154.9,25.9
139.1,29.4
178.8,31.2
106.9,23.2
50.9,25
231.2,35.4
143.9,31.5
272.4,48.1
252.1,40
137.7,44.4
160.9,41.5
68.4,19.8
132.4,21.1
145,22.2
114.7,19.4
194,26.7
139.2,31.3
118.4,32.7
152.9,26.6
354.1,36.7
341.3,46.6
242.1,36.9
131.9,27.9
150.5,26.2
71.6,23.8
120.4,25.2
94.4,24.9
106.1,26.7
90.8,30.5
98.8,25.4
132,30.1
87.5,27.8
64.8,21.8
85.8,18.6
90.5,21.5
101.6,20.4
129.6,21.4
122.2,19.2
132.3,19.1
89.2,13
199.2,19.3
354.6,39.4
160.5,23.1
