Genes,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19
Gene1,1,0.24237,0.39215,0.015243,0.18112,0.39281,0.16023,0.25127,0.03247,0.14787,0.01422,0.51053,0.028119,0.28345,0.10544,0.10342,0.49834,0.10497,0.32569
Gene2,0.24237,1,0.1542,0.05582,0.066869,0.035527,0.27955,0.38314,0.016948,0.2265,0.1551,0.30355,0.036471,0.12503,0.48079,0.10244,0.35106,0.50826,0.19603
Gene3,0.39215,0.1542,1,0.022688,0.076589,0.32241,0.025886,0.1805,0.10122,0.12738,0.51726,0.04382,0.33166,0.47378,0.024432,0.16155,0.35307,0.071801,0.42308
Gene4,0.015243,0.05582,0.022688,1,0.16963,0.026578,0.0069915,0.29756,0.2823,0.37105,0.22205,0.0054919,0.078182,0.011737,0.25502,0.043142,0.30392,0.18233,0.17097
Gene5,0.18112,0.066869,0.076589,0.16963,1,0.22767,0.16113,0.15246,0.2492,0.15011,0.18528,0.080533,0.21407,0.15107,0.1438,0.13135,0.033155,0.32642,0.051211
Gene6,0.39281,0.035527,0.32241,0.026578,0.22767,1,0.042642,0.53499,0.0044696,0.33426,0.035081,0.052119,0.14607,0.58051,0.25088,0.057096,0.57839,0.058623,0.54404
Gene7,0.16023,0.27955,0.025886,0.0069915,0.16113,0.042642,1,0.36557,0.7272,0.34073,0.065367,0.29044,0.37157,0.37219,0.68096,0.11805,0.017893,0.057846,0.1871
Gene8,0.25127,0.38314,0.1805,0.29756,0.15246,0.53499,0.36557,1,0.26761,0.14574,0.20591,0.20873,0.20266,0.36728,0.64924,0.20132,0.2397,0.039921,0.3777
Gene9,0.03247,0.016948,0.10122,0.2823,0.2492,0.0044696,0.7272,0.26761,1,0.30417,0.13571,0.025796,0.22511,0.27504,0.55997,0.12808,0.27374,0.21675,0.030912
Gene10,0.14787,0.2265,0.12738,0.37105,0.15011,0.33426,0.34073,0.14574,0.30417,1,0.14016,0.13779,0.099958,0.070591,0.33813,0.11654,0.20092,0.24108,0.25977
Gene11,0.01422,0.1551,0.51726,0.22205,0.18528,0.035081,0.065367,0.20591,0.13571,0.14016,1,0.088146,0.35025,0.19515,0.19167,0.36018,0.11883,0.15694,0.27238
Gene12,0.51053,0.30355,0.04382,0.0054919,0.080533,0.052119,0.29044,0.20873,0.025796,0.13779,0.088146,1,0.0042874,0.06907,0.10238,0.27418,0.14236,0.05509,0.045399
Gene13,0.028119,0.036471,0.33166,0.078182,0.21407,0.14607,0.37157,0.20266,0.22511,0.099958,0.35025,0.0042874,1,0.24963,0.19831,0.18646,0.013658,0.032946,0.12962
Gene14,0.28345,0.12503,0.47378,0.011737,0.15107,0.58051,0.37219,0.36728,0.27504,0.070591,0.19515,0.06907,0.24963,1,0.39233,0.12121,0.44061,0.11608,0.35266
Gene15,0.10544,0.48079,0.024432,0.25502,0.1438,0.25088,0.68096,0.64924,0.55997,0.33813,0.19167,0.10238,0.19831,0.39233,1,0.033136,0.21326,0.23737,0.047359
Gene16,0.10342,0.10244,0.16155,0.043142,0.13135,0.057096,0.11805,0.20132,0.12808,0.11654,0.36018,0.27418,0.18646,0.12121,0.033136,1,0.055179,0.17178,0.41942
Gene17,0.49834,0.35106,0.35307,0.30392,0.033155,0.57839,0.017893,0.2397,0.27374,0.20092,0.11883,0.14236,0.013658,0.44061,0.21326,0.055179,1,0.65786,0.21778
Gene18,0.10497,0.50826,0.071801,0.18233,0.32642,0.058623,0.057846,0.039921,0.21675,0.24108,0.15694,0.05509,0.032946,0.11608,0.23737,0.17178,0.65786,1,0.17431
Gene19,0.32569,0.19603,0.42308,0.17097,0.051211,0.54404,0.1871,0.3777,0.030912,0.25977,0.27238,0.045399,0.12962,0.35266,0.047359,0.41942,0.21778,0.17431,1
