"Source","Cu","Mn","Mo","Ni","Pb","Sb"
"Site1",19.7,3.08,0.75,-1.86,7.28,4.7
"Site2",10.64,4.51,0.94,7.23,4.8,2.5
"Site1",33.79,14.82,3.47,17.96,50.67,7.76
"Site2",5.35,4.55,0.57,5.64,4.72,1.35
"Site2",19.89,6.28,2.28,16.37,8.97,4.67
"Site2",26.97,27.52,2.94,9.07,38.65,7.91
"Site1",13.85,7.97,1.44,5.09,7.58,3.65
"Site3",21.99,14.13,2.73,17.24,11.03,6.43
"Site3",19.72,7.63,2.25,9.89,10.12,5.4
"Site1",23.24,5.8,1.17,0.37,5.01,4.56
"Site3",21,,,,,
"Site1",17.35,16.77,1.56,0.8,13.36,
"Site3",13.68,12.4,1.06,4.76,5.96,
"Site1",16.89,7.22,1.26,4.05,5.74,
"Site3",8.77,9.99,0.61,0.55,4.17,
"Site1",23,,,,,
"Site3",16.44,8.42,1.42,7.96,,2.86
"Site1",12.73,5.85,1.2,6.73,,2.97
"Site3",36.9,8.9,2.39,-0.37,,9.52
"Site3",30.71,9.09,1.97,2.04,,6.97
"Site1",12,,,,,
"Site3",12.01,6.38,1.23,9.69,,2.8
"Site1",29.09,6.79,2.12,-2.19,,7.36
"Site3",31.4,4.68,1.54,0.65,,6.17
"Site1",43.62,11.14,3,0.48,,10.18
"Site3",20.36,5.21,1.44,5.8,,3.78
"Site1",10.53,8.75,1.76,3.43,,2.75
"Site3",3.06,2.05,0.11,-0.66,,0.96
"Site3",23.43,7.01,1.63,3.53,,6.44
"Site1",25.21,5.5,1.78,-1.23,,5.72
"Site3",32.74,2.71,1.52,-0.99,4.74,5.61
"Site1",38.66,8.62,3.97,1.09,15.12,10.27
"Site3",57.77,18.76,4.18,2.38,40.32,14.94
"Site4",17.29,4.1,1.23,0.54,6.61,4.4
"Site2",65.73,13.13,5.14,0.86,18.51,16.35
"Site1",31.22,6.99,2.33,-1.07,8.71,8.25
"Site3",45.43,7.65,3.08,-0.74,12.34,10.06
"Site4",43.43,5.57,2.89,-1.67,7.46,9.57
"Site2",43.26,8.44,2.67,-1.35,14.97,9.92
"Site2",45,,,,,
"Site1",53.44,8.2,3.03,0.27,11.16,9.77
"Site3",41.27,9.3,3.22,-0.42,10.45,10.83
"Site4",35.09,6.08,2.53,-1.11,8.12,6.56
"Site2",44.97,7.34,3.22,-0.11,9.66,10.6
"Site2",37.42,5.39,1.86,-1.45,11.42,6.73
"Site1",15.73,4.3,0.92,0.47,7.66,3.65
"Site3",41.45,7.73,3.01,-1.55,18.88,10.49
"Site4",30.08,11.14,2.16,-1.13,10.61,7.69
"Site2",24.83,6.42,1.86,-1.86,8.58,6.03
"Site2",41.24,10.11,2.96,0.35,14.11,10.01
"Site2",25.25,5.44,2.02,5.04,8.92,6.59
"Site2",37.39,8.27,2.68,7.3,13.58,8.66
"Site2",52.99,10.77,4.22,2.7,12.78,13.23
"Site2",17.47,9.22,2.55,28.66,9.29,4.8
"Site2",26.29,4.96,1.34,-0.65,10.09,4.94
"Site2",89.63,15.23,3.89,2.76,26.63,13.45
"Site2",23,,,,,
"Site3",28.22,6.98,2.45,0.13,16.72,7.82
"Site4",29.3,6.63,2.61,15.74,7.42,6.36
"Site1",-30.43,-10.84,-0.9,-6.97,-0.01,-0.68
"Site3",5.23,1.72,0.55,-0.72,17.59,2.26
"Site4",37.16,5.58,2.82,1.63,14.12,8.67
"Site2",27.07,6.16,2.01,2.11,14.89,6.5
"Site1",32.33,7.08,2.61,8.18,12.47,8.25
"Site3",13.51,4.3,0.88,0.47,10.47,2.76
"Site4",34.2,5.51,2.61,0.01,6.67,8.9
"Site2",32.18,6.47,2.63,-0.32,10.42,8.72
"Site2",22.02,4.38,1.7,-1.36,6.78,4.46
"Site1",79.81,22.54,6.97,12.46,28.32,18.58
"Site3",24.41,7.8,2.28,2.65,13.81,5.33
"Site4",38.74,15.04,3,1.97,29.86,9.34
"Site2",35.44,8.74,2.47,-0.95,12.06,8.29
"Site2",20.95,4.41,0.63,-1.21,2.03,2.66
"Site1",29.77,8.31,2.38,1.02,16.95,8.61
"Site3",12,,,,,
